comparison_type,metric,human_mean,human_median,human_std,gemini_all_mean,gemini_all_median,gemini_all_std,test_used,statistic,p_value,effect_size,gemini_baseline_mean,gemini_baseline_median,gemini_baseline_std
Human vs Gemini (All),feature_Genre,0.6009577480373344,0.6505717635154724,0.2765179905785246,0.27702673978637904,0.2514592558145523,0.22015356224973745,Mann-Whitney U,7412.0,3.3849815736029752e-12,,,,
Human vs gemini_baseline,feature_Genre,0.6009577480373344,0.6505717635154724,0.2765179905785246,,,,Mann-Whitney U,7412.0,3.3849815736029752e-12,,0.27702673978637904,0.2514592558145523,0.22015356224973745
Human vs Gemini (All),feature_Historical_Context,0.6763271098460808,0.7726226449012756,0.29070341634850994,0.20041347675058724,0.06809111684560776,0.24813834887918365,Mann-Whitney U,8034.0,2.2284367422432125e-17,,,,
Human vs gemini_baseline,feature_Historical_Context,0.6763271098460808,0.7726226449012756,0.29070341634850994,,,,Mann-Whitney U,8034.0,2.2284367422432125e-17,,0.20041347675058724,0.06809111684560776,0.24813834887918365
Human vs Gemini (All),feature_Ink_Application,0.2931390734169092,0.21808700263500214,0.262730214341308,0.20936756008762,0.04608825594186783,0.335321962370659,Mann-Whitney U,6250.0,3.7851364325455676e-05,,,,
Human vs gemini_baseline,feature_Ink_Application,0.2931390734169092,0.21808700263500214,0.262730214341308,,,,Mann-Whitney U,6250.0,3.7851364325455676e-05,,0.20936756008762,0.04608825594186783,0.335321962370659
Human vs Gemini (All),feature_Layout_and_Structure,0.6282323345297696,0.7226505875587463,0.31567965266295933,0.6248715830692423,0.8010313212871552,0.3603716454293486,Mann-Whitney U,4472.0,0.8230121580446335,,,,
Human vs gemini_baseline,feature_Layout_and_Structure,0.6282323345297696,0.7226505875587463,0.31567965266295933,,,,Mann-Whitney U,4472.0,0.8230121580446335,,0.6248715830692423,0.8010313212871552,0.3603716454293486
Human vs Gemini (All),feature_Line_Quality,0.37941754233657005,0.34259119629859924,0.26644337882387137,0.34029724388840676,0.17012997716665268,0.3506816181964775,Mann-Whitney U,5239.0,0.09918438082793117,,,,
Human vs gemini_baseline,feature_Line_Quality,0.37941754233657005,0.34259119629859924,0.26644337882387137,,,,Mann-Whitney U,5239.0,0.09918438082793117,,0.34029724388840676,0.17012997716665268,0.3506816181964775
Human vs Gemini (All),feature_Spatial_Representation,0.28541093160904674,0.19974194467067719,0.2902452654626245,0.20298051667590958,0.017581389285624027,0.3254427483123889,Mann-Whitney U,6170.0,8.685317294596132e-05,,,,
Human vs gemini_baseline,feature_Spatial_Representation,0.28541093160904674,0.19974194467067719,0.2902452654626245,,,,Mann-Whitney U,6170.0,8.685317294596132e-05,,0.20298051667590958,0.017581389285624027,0.3254427483123889
Human vs Gemini (All),feature_Style_School,0.43284512023752886,0.40017902851104736,0.2622755759701731,0.2041389534715563,0.14151444286108017,0.22386637210830648,Mann-Whitney U,6998.0,2.7026353421092303e-09,,,,
Human vs gemini_baseline,feature_Style_School,0.43284512023752886,0.40017902851104736,0.2622755759701731,,,,Mann-Whitney U,6998.0,2.7026353421092303e-09,,0.2041389534715563,0.14151444286108017,0.22386637210830648
Human vs Gemini (All),feature_Subject_Matter,0.6019649309091173,0.658463716506958,0.30296639249605084,0.21623086921421678,0.1523042917251587,0.20929937636626558,Mann-Whitney U,7640.0,5.558460766558136e-14,,,,
Human vs gemini_baseline,feature_Subject_Matter,0.6019649309091173,0.658463716506958,0.30296639249605084,,,,Mann-Whitney U,7640.0,5.558460766558136e-14,,0.21623086921421678,0.1523042917251587,0.20929937636626558
Human vs Gemini (All),feature_Symbolism,0.6615289111944498,0.7387839555740356,0.2846097534659311,0.4484458740667573,0.4987821727991104,0.2912112194008849,Mann-Whitney U,6421.0,5.672859907590118e-06,,,,
Human vs gemini_baseline,feature_Symbolism,0.6615289111944498,0.7387839555740356,0.2846097534659311,,,,Mann-Whitney U,6421.0,5.672859907590118e-06,,0.4484458740667573,0.4987821727991104,0.2912112194008849
Human vs Gemini (All),feature_Technique_Inheritance_&_Innovation,0.3791313189636427,0.3473187983036041,0.2650480342497931,0.24666042330915974,0.17379864305257797,0.24425656479778773,Mann-Whitney U,5981.0,0.0005348923963674327,,,,
Human vs gemini_baseline,feature_Technique_Inheritance_&_Innovation,0.3791313189636427,0.3473187983036041,0.2650480342497931,,,,Mann-Whitney U,5981.0,0.0005348923963674327,,0.24666042330915974,0.17379864305257797,0.24425656479778773
Human vs Gemini (All),feature_Texture_Strokes_Chunfa,0.4156292162412789,0.39430344104766846,0.23448314087702735,0.23770641960852248,0.23350419849157333,0.17265804702578086,Mann-Whitney U,6703.0,1.7174271770512185e-07,,,,
Human vs gemini_baseline,feature_Texture_Strokes_Chunfa,0.4156292162412789,0.39430344104766846,0.23448314087702735,,,,Mann-Whitney U,6703.0,1.7174271770512185e-07,,0.23770641960852248,0.23350419849157333,0.17265804702578086
Human vs Gemini (All),feature_Use_of_Color,0.5143470320524933,0.5070423483848572,0.2625019559294285,0.5143251609489587,0.4832099825143814,0.33994015140492045,Mann-Whitney U,4581.0,0.9678265429028681,,,,
Human vs gemini_baseline,feature_Use_of_Color,0.5143470320524933,0.5070423483848572,0.2625019559294285,,,,Mann-Whitney U,4581.0,0.9678265429028681,,0.5143251609489587,0.4832099825143814,0.33994015140492045
Human vs Gemini (All),quality_Classical_Citations,0.40259631623676834,0.36364462971687317,0.25964938759442996,0.08000100267236121,0.06236239895224571,0.07494484412236506,Mann-Whitney U,8108.0,4.630941631473128e-18,,,,
Human vs gemini_baseline,quality_Classical_Citations,0.40259631623676834,0.36364462971687317,0.25964938759442996,,,,Mann-Whitney U,8108.0,4.630941631473128e-18,,0.08000100267236121,0.06236239895224571,0.07494484412236506
Human vs Gemini (All),quality_Clear_Logic,0.09305192325392772,0.015033161267638206,0.15919746645044616,0.01949601271137778,0.006637421902269125,0.031866468887644564,Mann-Whitney U,5888.0,0.0012151227196667506,,,,
Human vs gemini_baseline,quality_Clear_Logic,0.09305192325392772,0.015033161267638206,0.15919746645044616,,,,Mann-Whitney U,5888.0,0.0012151227196667506,,0.01949601271137778,0.006637421902269125,0.031866468887644564
Human vs Gemini (All),quality_Detailed_Analysis,0.15794071439043705,0.07071123272180557,0.20659736696857617,0.07282215142082091,0.011715399101376534,0.1170471657723376,Mann-Whitney U,6160.0,9.610827456418345e-05,,,,
Human vs gemini_baseline,quality_Detailed_Analysis,0.15794071439043705,0.07071123272180557,0.20659736696857617,,,,Mann-Whitney U,6160.0,9.610827456418345e-05,,0.07282215142082091,0.011715399101376534,0.1170471657723376
