file_id,original_relative_file_path,author_display_name,primary_profile_or_status,kmeans_cluster,tsne_x,tsne_y,umap_x,umap_y,stance_score,Comprehensive Analyst_score,Historically Focused_score,Technique & Style Focused_score,Theory & Comparison Focused_score,General Descriptive Profile_score
6-2,正月(with_Mama_Zola).txt,Mama_Zola,Lacks_Specific_Focus,2,-0.14245267,-1.7897533,10.452812,17.707888,0.3807564973831177,0.0,0.0,0.0,0.0,0.13573911610771627
6-3,正月(with_Mama_Zola).txt,Mama_Zola,Lacks_Specific_Focus,1,-1.0190816,-4.0119424,12.316736,17.181597,0.2904659807682037,0.0,0.0,0.10996653176844119,0.0,0.15270259729922708
6-4,正月(with_Mama_Zola).txt,Mama_Zola,General Descriptive Profile,3,-3.8615394,0.037190847,12.265494,14.46528,0.4296833276748657,0.0,0.0,0.34118373950614644,0.0,0.5047710760232599
6-5,正月(with_Mama_Zola).txt,Mama_Zola,General Descriptive Profile,5,-2.107798,-2.7812722,10.826786,15.799228,0.5617358684539795,0.0,0.0,0.0,0.0,0.3752302491307796
6-6,正月(with_Mama_Zola).txt,Mama_Zola,General Descriptive Profile,0,-2.5331652,-0.80697423,10.194515,14.996885,0.6311309933662415,0.0,0.0,0.3626799847419356,0.0,0.4976429114202884
6-7,正月(with_Mama_Zola).txt,Mama_Zola,Lacks_Specific_Focus,5,-3.0096512,-2.2229257,11.187043,14.751385,0.2633267939090729,0.0,0.0,0.20202145981876285,0.0,0.2517199235803941
7-1,正月(with_Okakura_Kakuzo).txt,Okakura_Kakuzo,General Descriptive Profile,2,0.1523214,-1.6024768,10.100108,17.8758,0.8116752505302429,0.0,0.0,0.0,0.0,0.42076926253783337
7-2,正月(with_Okakura_Kakuzo).txt,Okakura_Kakuzo,Lacks_Specific_Focus,1,-1.8417189,-4.583663,12.839865,16.643751,0.3803391754627228,0.0,0.0,0.23708313668110206,0.0,0.07474016965451566
7-3,正月(with_Okakura_Kakuzo).txt,Okakura_Kakuzo,Lacks_Specific_Focus,4,-0.41346356,2.7394145,13.767884,14.183213,0.1759384423494339,0.0,0.0,0.22549423766413737,0.0,0.14150396852510022
7-4,正月(with_Okakura_Kakuzo).txt,Okakura_Kakuzo,General Descriptive Profile,5,-3.8810625,-2.7608154,11.762968,14.841133,0.2266823500394821,0.0,0.11822579801082611,0.2572697213613519,0.0,0.30598967300259816
7-5,正月(with_Okakura_Kakuzo).txt,Okakura_Kakuzo,General Descriptive Profile,5,-2.4289837,-2.534414,11.1781845,15.577063,0.4066547155380249,0.0,0.0,0.0,0.0,0.3417991632545855
7-6,正月(with_Okakura_Kakuzo).txt,Okakura_Kakuzo,Technique & Style Focused,0,-2.9466746,-1.2931736,9.934297,15.400185,0.3420034348964691,0.0,0.0,0.3484827293630908,0.0,0.3221069538696883
7-7,正月(with_Okakura_Kakuzo).txt,Okakura_Kakuzo,Lacks_Specific_Focus,3,0.2822385,-0.012022273,11.460889,16.790903,0.2567736506462097,0.0,0.2780731270710627,0.0,0.0,0.1774119564735475
8-1,正月(with_Professor_Elena_Petrova).txt,Professor_Elena_Petrova,Lacks_Specific_Focus,2,0.12066899,-2.8768957,11.024246,17.566078,0.3167363107204437,0.0,0.0,0.0,0.0,0.09808018277673161
8-2,正月(with_Professor_Elena_Petrova).txt,Professor_Elena_Petrova,Lacks_Specific_Focus,1,-2.246548,-4.449361,12.702885,16.294033,0.2445826083421707,0.0,0.0,0.2795548204113455,0.0,0.11755668067119338
8-3,正月(with_Professor_Elena_Petrova).txt,Professor_Elena_Petrova,Lacks_Specific_Focus,4,-1.4876269,1.9388298,13.986665,14.10667,0.3242663145065307,0.0,0.0,0.0,0.0,0.1895001018180183
8-4,正月(with_Professor_Elena_Petrova).txt,Professor_Elena_Petrova,Lacks_Specific_Focus,2,-1.1821576,-2.2771237,10.914265,17.022959,0.2556106448173523,0.0,0.0,0.03638149917344836,0.0,0.15631111479678098
8-5,正月(with_Professor_Elena_Petrova).txt,Professor_Elena_Petrova,Lacks_Specific_Focus,5,-2.2667365,-2.5159662,11.268156,15.946008,0.2395638972520828,0.0,0.0,0.13915224114761632,0.0,0.20044237235436502
8-6,正月(with_Professor_Elena_Petrova).txt,Professor_Elena_Petrova,General Descriptive Profile,5,-3.8222294,-3.8340945,12.503587,15.669923,0.6131572127342224,0.0,0.0,0.41941785442770696,0.0,0.526326321364246
8-7,正月(with_Professor_Elena_Petrova).txt,Professor_Elena_Petrova,Technique & Style Focused,3,-0.49973187,0.2711191,12.001473,14.306139,0.1691099852323532,0.0,0.0,0.32449563986384394,0.0,0.2209602934731678
9-1,正月(with_Su_Shi).txt,Su_Shi,General Descriptive Profile,2,-0.5493629,-1.579555,9.904266,17.47913,0.5955491065979004,0.0,0.0,0.08111710943939053,0.0,0.30690017807263786
9-2,正月(with_Su_Shi).txt,Su_Shi,Lacks_Specific_Focus,1,-1.3079327,-4.35359,12.639224,17.107197,0.2767778038978576,0.0,0.0,0.0,0.0,0.10565128850932404
9-3,正月(with_Su_Shi).txt,Su_Shi,Lacks_Specific_Focus,4,-1.5488288,1.6116697,13.7733755,13.811358,0.2656020820140838,0.0,0.0,0.2314048876145891,0.0,0.2543261661318773
9-4,正月(with_Su_Shi).txt,Su_Shi,General Descriptive Profile,1,-0.65917945,-4.026921,12.581169,17.45792,0.6585839986801147,0.0,0.0,0.0,0.0,0.30022483817793494
9-5,正月(with_Su_Shi).txt,Su_Shi,Technique & Style Focused,0,-4.1378584,-1.4011933,9.2762165,15.7312765,0.2656108736991882,0.0,0.0,0.348862624168396,0.0,0.1861588253893635
9-6,正月(with_Su_Shi).txt,Su_Shi,Lacks_Specific_Focus,3,-0.3091698,1.4371564,13.2308035,14.268065,0.3924590647220611,0.0,0.0,0.24782392314324775,0.0,0.27995006509005704
